OBJECTID,UCS_F,UCS_TIPO,DEPTO,NUM_SUELOS,NIVEL_TAXO,RAO,NUCLEO_ID
383,VVBa,Consociacion,Guaviare,4,4,0.57,1
384,LVBa,Consociacion,Guaviare,5,4,0.35375,1
385,LVHai,Disociacion,Guaviare,6,4,0.64625,1
386,LVAa,Consociacion,Guaviare,4,4,0.4825,1
387,LVDc,Asociacion,Guaviare,5,4,0.465,1
388,LVBa,Consociacion,Guaviare,5,4,0.35375,1
389,LVBb,Consociacion,Guaviare,5,4,0.35375,1
390,LVBa,Consociacion,Guaviare,5,4,0.35375,1
391,LVBa,Consociacion,Guaviare,5,4,0.35375,1
392,ZVAb,Disociacion,Guaviare,5,4,0.64,1
393,LVDd1,Asociacion,Guaviare,5,4,0.465,1
394,LVDc,Asociacion,Guaviare,5,4,0.465,1
395,LVBb,Consociacion,Guaviare,5,4,0.35375,1
396,LVDc,Asociacion,Guaviare,5,4,0.465,1
397,LVBb,Consociacion,Guaviare,5,4,0.35375,1
398,LVDc,Asociacion,Guaviare,5,4,0.465,1
399,RVDa,Asociacion,Guaviare,4,4,0.555,1
400,LVEd1,Consociacion,Guaviare,1,4,0.095,1
401,LVBb,Consociacion,Guaviare,5,4,0.35375,1
402,LVBb,Consociacion,Guaviare,5,4,0.35375,1
403,LVAa,Consociacion,Guaviare,4,4,0.4825,1
404,LVDc,Asociacion,Guaviare,5,4,0.465,1
405,LVBb,Consociacion,Guaviare,5,4,0.35375,1
406,ZVAb,Disociacion,Guaviare,5,4,0.64,1
407,LVBb,Consociacion,Guaviare,5,4,0.35375,1
408,LVBa,Consociacion,Guaviare,5,4,0.35375,1
409,LVBb,Consociacion,Guaviare,5,4,0.35375,1
410,LVBa,Consociacion,Guaviare,5,4,0.35375,1
411,LVDd1,Asociacion,Guaviare,5,4,0.465,1
412,LVDc,Asociacion,Guaviare,5,4,0.465,1
413,LVBb,Consociacion,Guaviare,5,4,0.35375,1
414,LVHai,Disociacion,Guaviare,6,4,0.64625,1
415,RVBai,Complejo,Guaviare,3,4,0.345,1
416,ZVAb,Disociacion,Guaviare,5,4,0.64,1
417,LVDd1,Asociacion,Guaviare,5,4,0.465,1
418,LVDd1,Asociacion,Guaviare,5,4,0.465,1
419,LVHai,Disociacion,Guaviare,6,4,0.64625,1
420,RVCai,Asociacion,Guaviare,6,4,0.39625,1
421,RVBai,Complejo,Guaviare,3,4,0.345,1
422,LVFd1,Asociacion,Guaviare,3,4,0.605,1
423,RVAai,Asociacion,Guaviare,3,4,0.405,1
424,ZVCd1,Consociacion,Guaviare,3,4,0.32,1
425,LVBb,Consociacion,Guaviare,5,4,0.35375,1
426,LVBa,Consociacion,Guaviare,5,4,0.35375,1
427,LVBa,Consociacion,Guaviare,5,4,0.35375,1
428,LVHai,Disociacion,Guaviare,6,4,0.64625,1
429,LVBa,Consociacion,Guaviare,5,4,0.35375,1
430,LVEd1,Consociacion,Guaviare,1,4,0.095,1
431,RVCai,Asociacion,Guaviare,6,4,0.39625,1
432,LVCc,Complejo,Guaviare,6,4,0.63,1
433,LVBb,Consociacion,Guaviare,5,4,0.35375,1
434,LVHai,Disociacion,Guaviare,6,4,0.64625,1
435,LVHai,Disociacion,Guaviare,6,4,0.64625,1
436,LVBa,Consociacion,Guaviare,5,4,0.35375,1
437,ZVAa,Disociacion,Guaviare,5,4,0.64,1
438,LVDc,Asociacion,Guaviare,5,4,0.465,1
439,LVCb,Complejo,Guaviare,6,4,0.63,1
440,LVDc,Asociacion,Guaviare,5,4,0.465,1
441,LVAb,Consociacion,Guaviare,4,4,0.4825,1
442,LVBa,Consociacion,Guaviare,5,4,0.35375,1
443,VVBa,Consociacion,Guaviare,4,4,0.57,1
444,LVDc,Asociacion,Guaviare,5,4,0.465,1
445,LVDc,Asociacion,Guaviare,5,4,0.465,1
446,RVBai,Complejo,Guaviare,3,4,0.345,1
447,RVCai,Asociacion,Guaviare,6,4,0.39625,1
448,ZVAb,Disociacion,Guaviare,5,4,0.64,1
449,LVCb,Complejo,Guaviare,6,4,0.63,1
450,LVDc,Asociacion,Guaviare,5,4,0.465,1
451,RVBai,Complejo,Guaviare,3,4,0.345,1
452,RVDa,Asociacion,Guaviare,4,4,0.555,1
453,LVAa,Consociacion,Guaviare,4,4,0.4825,1
454,LVCb,Complejo,Guaviare,6,4,0.63,1
455,ZVAa,Disociacion,Guaviare,5,4,0.64,1
456,ZVCd1,Consociacion,Guaviare,3,4,0.32,1
457,ZVBe2,Asociacion,Guaviare,3,4,0.375,1
458,LVDc,Asociacion,Guaviare,5,4,0.465,1
459,ZVAb,Disociacion,Guaviare,5,4,0.64,1
460,ZVAc,Disociacion,Guaviare,5,4,0.64,1
461,LVDc,Asociacion,Guaviare,5,4,0.465,1
462,LVDc,Asociacion,Guaviare,5,4,0.465,1
463,LVDd1,Asociacion,Guaviare,5,4,0.465,1
464,RVCai,Asociacion,Guaviare,6,4,0.39625,1
